City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
180,Karratha,-17.7125,-39.2481,74.26,91,99,3.94,BR
181,Karratha,-13.1256,38.9997,63.7,91,43,7.23,MZ
182,Karratha,-13.8833,167.55,81.84,74,99,5.95,VU
183,Karratha,-25.1667,45.05,64.27,82,0,6.78,MG
184,Karratha,-21.15,149.2,80.6,65,40,20.71,AU
185,Karratha,-46.2817,169.8464,59.0,62,49,14.0,NZ
186,Karratha,39.5108,54.3671,51.69,35,49,22.46,TM
187,Karratha,6.8833,73.1,84.49,70,7,10.09,MV
188,Karratha,39.05,-27.9833,56.5,63,0,9.4,PT
189,Karratha,9.4942,50.8122,74.86,68,67,2.95,SO
190,Karratha,-29.9533,-71.3436,57.2,94,75,2.3,CL
191,Karratha,46.6166,10.7002,52.0,75,0,5.75,IT
192,Karratha,59.0556,80.8572,30.61,83,100,13.49,RU
193,Karratha,-28.7667,114.6,86.0,37,0,5.75,AU
194,Karratha,64.75,177.4833,8.6,72,40,13.42,RU
195,Karratha,-35.1,173.7833,66.74,83,61,8.79,NZ
196,Karratha,64.8945,-23.7142,41.2,89,100,22.57,IS
197,Karratha,70.0744,29.7487,33.8,86,75,12.66,NO
198,Karratha,7.5264,-12.505,78.6,87,51,4.5,SL
199,Karratha,69.4541,-133.0374,-11.2,70,40,21.85,CA
200,Karratha,68.0531,39.5131,31.3,93,100,8.19,RU
201,Karratha,61.994,-49.6678,30.72,74,100,22.66,GL
202,Karratha,57.7853,108.1119,25.03,79,100,13.2,RU
203,Karratha,45.0503,136.6092,46.6,51,2,10.69,RU
204,Karratha,6.6221,73.07,84.36,70,8,11.01,MV
205,Karratha,-12.28,43.7425,83.26,74,70,15.23,KM
206,Karratha,31.2089,16.5887,59.45,66,0,9.98,LY
207,Karratha,0.7,108.9,85.19,67,27,4.45,ID
208,Karratha,46.6806,113.2792,46.74,29,100,10.11,MN
209,Karratha,22.6783,-3.9836,80.4,8,26,11.1,ML
210,Karratha,-33.8667,121.9,73.4,64,3,5.75,AU
211,Karratha,7.9986,124.2928,82.0,85,99,5.01,PH
212,Karratha,-19.2792,30.5283,54.1,72,94,4.68,ZW
213,Karratha,50.6789,156.125,37.51,98,100,16.71,RU
214,Karratha,57.0531,-135.33,37.4,75,75,5.75,US
215,Karratha,-16.2325,39.9086,75.25,68,14,7.16,MZ
216,Karratha,31.61,34.7642,53.01,100,8,3.06,IL
217,Karratha,53.5102,142.9671,31.59,86,9,10.74,RU
218,Karratha,-5.55,12.2,75.24,91,100,5.91,AO
219,Karratha,-11.3847,43.2844,82.24,75,65,6.82,KM
220,Karratha,36.1156,-97.0584,53.6,35,1,5.75,US
221,Karratha,37.1041,-113.5841,66.2,9,1,3.13,US
222,Karratha,-23.7,133.8833,87.01,25,0,10.36,AU
223,Karratha,16.3573,119.8564,83.71,69,20,5.61,PH
224,Karratha,30.1924,116.025,62.47,89,100,4.34,CN
225,Karratha,-16.4833,-151.75,82.83,69,100,6.6,PF
226,Karratha,56.0667,21.5667,37.4,93,90,5.75,LT
227,Karratha,26.1247,127.6694,80.6,74,40,6.91,JP
228,Karratha,45.0917,133.5136,49.05,42,0,4.79,RU
229,Karratha,0.4667,35.9667,70.5,62,17,3.06,KE
230,Karratha,15.7432,-96.4661,84.2,65,40,8.05,MX
231,Karratha,-28.8667,153.5667,71.6,83,90,13.8,AU
232,Karratha,28.7167,-111.5833,78.01,23,49,4.0,MX
233,Karratha,-20.4637,16.6477,61.25,80,85,7.56,NA
234,Karratha,-5.795,-35.2094,80.6,83,20,6.91,BR
235,Karratha,-32.7167,152.15,73.99,83,75,3.44,AU
236,Karratha,-5.1989,-35.4608,77.0,94,40,2.3,BR
237,Karratha,51.5271,53.3831,27.32,82,100,12.86,RU
238,Karratha,23.2167,-106.4167,73.4,53,90,11.5,MX
239,Karratha,20.5022,-10.0711,82.06,8,100,10.09,MR
240,Karratha,8.5711,81.2335,80.96,78,99,13.35,LK
241,Karratha,65.8167,87.9833,-4.47,94,90,6.93,RU
242,Karratha,21.3469,-158.0858,82.4,54,20,10.36,US
243,Karratha,24.4058,109.6086,82.54,63,3,9.55,CN
244,Karratha,71.6872,128.8694,-6.84,97,100,10.69,RU
245,Karratha,51.226,-58.6502,21.16,92,100,3.11,CA
246,Karratha,56.555,76.6271,16.12,93,87,11.14,RU
247,Karratha,-22.116,14.2845,70.38,73,68,6.22,NA
248,Karratha,43.2128,-75.4557,41.0,87,90,9.22,US
249,Karratha,69.0125,23.0412,14.65,90,100,4.03,NO
250,Karratha,-17.3147,-53.2153,68.41,77,0,2.77,BR
251,Karratha,-38.0023,-57.5575,64.99,94,0,9.6,AR
252,Karratha,-0.7758,34.9453,51.89,97,22,2.39,KE
253,Karratha,39.9606,68.3958,36.54,76,100,7.11,UZ
254,Karratha,63.8567,57.3094,30.34,95,100,7.94,RU
255,Karratha,-11.4197,-75.6908,51.82,88,100,1.63,PE
256,Karratha,17.4189,121.4443,84.61,56,7,5.73,PH
257,Karratha,32.9297,10.4518,51.53,82,0,2.91,TN
258,Karratha,42.2506,-75.833,42.01,93,90,10.36,US
259,Karratha,14.1245,38.7244,59.76,35,59,6.13,ET
260,Karratha,48.1783,-2.7543,55.4,71,0,6.91,FR
261,Karratha,68.3499,-133.7218,3.2,72,100,6.91,CA
262,Karratha,-20.4081,57.7,75.2,100,75,6.91,MU
263,Karratha,67.667,12.6934,39.15,74,100,21.32,NO
264,Karratha,64.8378,-147.7164,26.01,86,90,16.11,US
265,Karratha,31.4167,130.3167,64.4,52,75,9.22,JP
266,Karratha,-13.275,-50.1628,75.83,68,10,1.43,BR
267,Karratha,-16.7,-151.0167,82.76,71,100,7.9,PF
268,Karratha,-2.0226,147.2712,83.88,72,78,3.27,PG
269,Karratha,20.931,-17.0347,64.4,82,0,17.27,MR
270,Karratha,46.7924,48.0119,35.6,80,0,8.95,RU
271,Karratha,50.2667,10.9667,52.0,48,2,0.98,DE
272,Karratha,63.8424,-22.4338,41.0,87,90,18.41,IS
273,Karratha,59.4511,112.5578,26.76,82,100,9.55,RU
274,Karratha,-10.4,40.3333,73.96,89,31,11.48,TZ
275,Karratha,-14.2667,50.1667,76.03,89,55,10.18,MG
276,Karratha,18.7333,-103.6833,73.06,65,100,1.19,MX
277,Karratha,-46.1333,167.6833,63.0,63,100,4.0,NZ
278,Karratha,53.0833,10.5833,51.01,81,100,4.56,DE
279,Karratha,60.7522,-137.5108,33.8,47,100,5.75,CA
280,Karratha,40.8021,-124.1637,64.4,27,1,3.44,US
281,Karratha,61.67,96.37,8.82,82,82,2.77,RU
282,Karratha,-10.4544,161.9205,82.92,77,81,4.9,SB
283,Karratha,1.1667,108.9667,84.16,69,44,3.31,ID
284,Karratha,-39.8142,-73.2459,60.8,82,75,1.14,CL
285,Karratha,60.1545,-1.1494,37.4,65,40,4.61,GB
286,Karratha,13.7796,124.39,84.51,60,93,11.03,PH
287,Karratha,-31.6333,-60.7,61.72,75,0,6.02,AR
288,Karratha,-6.0258,-44.2492,72.43,98,100,0.89,BR
289,Karratha,27.4333,82.1833,78.71,11,0,0.83,IN
290,Karratha,53.3808,142.9564,33.17,81,8,11.43,RU
291,Karratha,-22.4114,-47.5614,66.99,82,0,4.61,BR
292,Karratha,16.0678,108.2208,84.2,79,20,4.61,VN
293,Karratha,14.5333,20.9167,71.06,16,1,9.17,TD
294,Karratha,-7.2597,-34.9075,78.8,89,0,4.61,BR
295,Karratha,31.6315,-8.0083,59.0,77,0,3.44,MA
296,Karratha,34.4166,-79.3712,66.99,100,90,6.91,US
297,Karratha,18.0384,-71.744,78.33,70,2,9.89,DO
298,Karratha,-33.6971,-53.4616,63.27,73,99,6.46,UY
299,Karratha,7.9803,49.8164,72.91,70,73,3.13,SO
300,Karratha,55.15,60.1183,33.55,69,100,12.57,RU
301,Karratha,32.5056,-110.9211,77.0,11,0,7.7,US
302,Karratha,2.6708,72.8944,83.79,71,94,19.19,MV
303,Karratha,42.7762,-9.0603,63.0,63,100,11.56,ES
304,Karratha,47.1666,-55.1483,30.29,61,44,4.14,CA
305,Karratha,13.9216,44.1467,59.41,40,8,2.77,YE
306,Karratha,21.2667,-97.45,75.13,95,100,7.09,MX
307,Karratha,62.2266,-6.589,39.2,81,40,13.8,FO
308,Karratha,65.282,-126.8329,12.2,85,90,4.18,CA
309,Karratha,-13.7833,14.6833,59.18,91,97,3.24,AO
310,Karratha,18.6853,12.9164,66.24,14,0,11.72,NE
311,Karratha,25.9333,81.9833,77.9,7,0,7.14,IN
312,Karratha,48.1863,0.6536,55.4,76,0,4.61,FR
313,Karratha,55.6211,8.4807,45.0,93,75,9.22,DK
314,Karratha,12.485,-16.5469,68.0,94,0,4.61,SN
315,Karratha,54.7169,-113.2854,41.0,48,100,1.14,CA
316,Karratha,35.7333,140.8333,70.0,52,40,8.05,JP
317,Karratha,57.4953,60.2112,29.73,89,100,12.24,RU
318,Karratha,35.1333,140.3,70.0,63,75,6.91,JP
319,Karratha,59.2917,39.6787,31.78,88,87,8.3,RU
