City_ID,Hotel Name,City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
425,,425,Karratha,14.8961,-24.4956,70.05,76,37,7.61,CV
426,,426,Karratha,17.4924,44.1277,64.4,29,0,1.61,SA
435,,435,Karratha,-13.7,-76.2167,68.0,77,0,11.5,PE
438,,438,Karratha,-8.3791,-74.5539,77.0,88,40,4.61,PE
442,,442,Karratha,14.0351,-83.3888,77.27,87,6,11.92,NI
454,,454,Karratha,13.55,-7.45,78.57,14,24,7.38,ML
460,,460,Karratha,34.3833,131.2,64.99,63,0,10.36,JP
464,,464,Karratha,18.451,-78.1736,78.8,78,20,4.61,JM
465,,465,Karratha,-20.9373,55.2919,75.2,83,90,3.44,RE
466,,466,Karratha,-9.1061,124.8925,77.79,85,100,4.45,ID
468,,468,Karratha,13.2167,-59.5167,77.0,65,40,23.02,BB
470,,470,Karratha,7.8833,-11.05,72.95,94,60,0.87,SL
471,,471,Karratha,14.2,24.6667,61.75,19,3,6.58,SD
472,,472,Karratha,-5.6667,132.75,79.77,81,100,7.2,ID
476,,476,Karratha,14.0,-7.75,76.66,14,0,8.08,ML
480,,480,Karratha,18.4167,-64.6167,78.01,85,21,8.99,VG
484,,484,Karratha,-4.9667,39.8333,78.84,83,76,11.54,TZ
485,,485,Karratha,26.5579,54.8807,69.8,100,0,5.06,IR
487,,487,Karratha,43.5167,-8.1528,71.6,33,0,6.91,ES
490,,490,Karratha,-28.65,153.6167,71.6,83,90,13.8,AU
498,,498,Karratha,4.8699,-2.2405,78.69,88,22,6.15,GH
500,,500,Karratha,-15.1961,12.1522,74.14,84,56,3.76,AO
502,,502,Karratha,30.85,-116.0667,65.95,44,29,2.77,MX
505,,505,Karratha,33.7333,135.9833,68.0,52,75,4.61,JP
507,,507,Karratha,-32.25,148.6167,75.2,53,19,8.05,AU
508,,508,Karratha,-23.7781,-45.3581,70.56,79,39,6.64,BR
510,,510,Karratha,3.0372,29.5355,66.69,84,100,2.59,CD
514,,514,Karratha,27.9769,-114.0611,68.76,40,71,9.1,MX
519,,519,Karratha,17.0151,54.0924,75.2,23,0,1.14,OM
520,,520,Karratha,0.0722,42.7506,78.1,85,16,5.1,SO
527,,527,Karratha,-35.35,150.4667,75.2,43,20,6.91,AU
530,,530,Karratha,29.7057,118.2862,72.0,96,96,3.65,CN
